,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
10,408165.1,1,2008,7.32e,noMERCY,Keyd Stars,fcr,4nalog,Kingrd,Costabile,KJ,YadomiJN,Mr.Jeans,elmisho,Benjaz,Kōtarō,Spirit Breaker,Timbersaw,Mirana,Morphling,Treant Protector,Clockwerk,Windranger,Snapfire,Underlord,Phantom Lancer,50,50,50,60.57041,53.151344,50,50,50,50,50,30,30,30,257,151,30,30,30,30,30,48.82,53.35,47.84,45.84,53.58,49.80,46.30,45.01,50.72,53.14,2.71,0.29,0.88,3.59,-0.69,0.16,-0.04,-0.03,-1.25,-3.27,-0.08,-0.97,-0.54,0.81,0.32,-1.08,0.37,0.07,0.72,-0.49,-0.12,0.42,1.33,1.12,-0.63
11,408165.0,0,2134,7.32e,noMERCY,Keyd Stars,Benjaz,Kōtarō,elmisho,YadomiJN,Mr.Jeans,4nalog,Kingrd,KJ,Costabile,fcr,Magnus,Shadow Fiend,Skywrath Mage,Disruptor,Pangolier,Timbersaw,Spirit Breaker,Lich,Medusa,Visage,50,50,50,50,50,50,50,53.151344,60.57041,50,30,30,30,30,30,30,30,14,63,30,47.33,48.49,50.21,49.61,44.17,53.35,48.82,51.37,51.29,48.94,-1.03,-1.15,0.37,0.54,-0.99,-1.25,1.26,0.13,2.2,1.61,-1.43,0.99,0.04,1.85,1.55,-0.95,-1.13,-0.28,0.13,1.0,-1.49,-0.71,-1.25,-1.42,-2.82
12,408166.1,1,3566,7.32e,Thunder Awaken,Lava Esports,ILICH-,Mjz,SLATEM$,CorVus,Smiling Knight,Smoker,hermit,JimmyCoff666,Lumpy,Payk,Magnus,Oracle,Ember Spirit,Keeper of the Light,Windranger,Spirit Breaker,Batrider,Enchantress,Huskar,Juggernaut,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,47.33,53.13,49.78,45.82,46.30,48.82,44.60,45.74,49.23,50.63,-1.15,0.17,0.25,1.76,0.99,-1.14,0.46,1.74,1.33,0.29,-2.59,0.52,1.99,4.75,1.27,-0.22,0.53,0.71,2.65,0.65,-0.29,-1.22,-0.28,-2.46,-1.8
13,408166.0,0,1655,7.32e,Thunder Awaken,Lava Esports,Payk,Lumpy,hermit,JimmyCoff666,Smoker,CorVus,ILICH-,Mjz,Smiling Knight,SLATEM$,Magnus,Ember Spirit,Lycan,Lich,Pugna,Techies,Monkey King,Oracle,Troll Warlord,Shadow Fiend,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,47.33,49.78,47.55,51.37,48.78,49.01,45.58,53.13,51.74,48.49,-0.06,-0.24,-0.16,1.5,0.5,0.59,2.47,0.95,3.21,1.73,1.99,2.23,-3.42,6.2,0.19,-0.34,-0.99,0.97,-0.95,-0.13,-0.1,-0.39,-0.9,-1.49,0.74
14,408167.1,1,2275,7.32e,Keyd Stars,x5 Gaming,KJ,Costabile,4nalog,Kingrd,fcr,tavo,LTH,Ryu,Wij,Benny,Spirit Breaker,Medusa,Void Spirit,Skywrath Mage,Primal Beast,Magnus,Disruptor,Pangolier,Shadow Demon,Juggernaut,53.151344,60.57041,50,50,50,55.853226,50,50,50,50,85,63,30,30,30,51,30,30,30,30,48.82,51.29,50.07,50.21,47.92,47.33,49.61,44.17,45.35,50.63,1.15,1.13,0.71,2.55,-0.85,-0.54,-0.13,1.42,3.24,0.45,-0.98,0.15,1.19,-1.57,-1.65,0.42,0.28,0.25,2.55,-1.35,-0.52,1.34,0.55,0.04,0.74
15,408167.0,0,1467,7.32e,Keyd Stars,x5 Gaming,tavo,Ryu,LTH,Wij,Benny,Kingrd,KJ,4nalog,Costabile,fcr,Batrider,Void Spirit,Disruptor,Oracle,Juggernaut,Techies,Spirit Breaker,Storm Spirit,Naga Siren,Visage,55.853226,50,50,50,50,50,53.151344,50,60.57041,50,89,30,30,30,30,30,85,30,194,30,44.60,50.07,49.61,53.13,50.63,49.01,48.82,48.04,48.37,48.94,-0.77,-1.56,2.1,-3.11,-0.69,-0.02,0.34,0.71,2.2,-1.52,-0.54,-1.13,-1.81,0.48,1.0,-0.73,-1.14,-1.93,-0.96,2.28,-1.59,0.85,0.32,-1.63,0.71
16,408168.2,1,2647,7.32e,Thunder Awaken,Keyd Stars,ILICH-,SLATEM$,CorVus,Mjz,Smiling Knight,4nalog,KJ,Kingrd,Costabile,fcr,Beastmaster,Ember Spirit,Mirana,Oracle,Sven,Storm Spirit,Pugna,Bounty Hunter,Naga Siren,Marci,50,50,50,50,50,50,53.151344,50,60.57041,50,30,30,30,30,30,30,99,30,194,30,45.96,49.78,47.84,53.13,47.4,48.04,48.78,48.40,48.37,48.73,0.29,-5.71,-0.05,-3.24,-2.15,-0.73,-0.29,0.38,-1.61,-1.12,-0.11,-1.04,1.57,3.22,-0.26,-1.93,0.9,-1.05,-0.96,2.48,-1.03,-1.05,0.59,-3.99,-1.16
17,408168.1,0,1191,7.32e,Thunder Awaken,Keyd Stars,CorVus,SLATEM$,Mjz,Smiling Knight,ILICH-,4nalog,KJ,Kingrd,Costabile,fcr,Spirit Breaker,Void Spirit,Oracle,Lone Druid,Dark Seer,Storm Spirit,Pugna,Dark Willow,Naga Siren,Beastmaster,50,50,50,50,50,50,53.151344,50,60.57041,50,30,30,30,30,30,30,99,30,194,30,48.82,50.07,53.13,54.94,52.87,48.04,48.78,47.51,48.37,45.96,0.22,-0.72,2.09,-0.11,0.71,0.71,0.53,-0.28,2.2,0.19,-1.93,0.9,-0.48,-0.96,-0.74,-2.29,0.08,1.92,3.26,3.0,-0.38,-0.4,0.01,-4.3,-3.05
18,408168.0,0,3241,7.32e,Thunder Awaken,Keyd Stars,Kingrd,Costabile,4nalog,KJ,fcr,Mjz,ILICH-,CorVus,SLATEM$,Smiling Knight,Spirit Breaker,Medusa,Pangolier,Silencer,Winter Wyvern,Oracle,Magnus,Shadow Demon,Void Spirit,Windranger,50,60.57041,50,53.151344,50,50,50,50,50,50,30,63,30,39,30,30,30,30,30,30,48.82,51.29,44.17,54.12,50.53,53.13,47.33,45.35,50.07,46.30,1.14,1.15,2.55,-0.34,0.29,-2.6,-0.54,3.24,-1.87,1.71,-1.51,-0.05,-1.96,-1.19,0.22,0.91,0.24,1.17,1.13,0.49,-0.65,-2.37,-0.12,-0.96,-0.08
19,408169.1,1,3038,7.33c,UD Vessuwan,IHC Esports,Ace12,423,Se,Sanctity-,eleven,Boombui,BeeBie,RDP,LionaX,KNP,Shadow Demon,Bloodseeker,Silencer,Ember Spirit,Mars,Batrider,Storm Spirit,Broodmother,Undying,Arc Warden,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,45.35,49.05,54.12,49.78,47.17,44.60,46.16,43.44,51.53,54.56,-0.38,2.07,-0.12,1.59,1.0,0.07,2.13,-1.43,-1.41,-0.62,1.32,-2.22,2.91,-0.45,2.14,0.52,-0.73,-3.26,-1.84,-1.11,-1.05,1.8,-0.75,1.47,0.3
20,408169.0,1,2268,7.33c,UD Vessuwan,IHC Esports,Sanctity-,Ace12,Se,eleven,423,Boombui,KNP,RDP,LionaX,BeeBie,Morphling,Techies,Pugna,Magnus,Alchemist,Batrider,Naga Siren,Brewmaster,Disruptor,Ember Spirit,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,45.84,49.01,48.29,47.33,46.43,44.60,48.37,49.84,49.61,49.78,0.45,1.11,-1.5,0.4,-0.42,0.77,-1.49,-0.24,0.54,-0.59,1.17,-0.87,-0.59,-0.9,0.29,0.17,-1.44,-0.03,0.41,2.39,-0.5,-0.16,-1.54,-0.61,-0.5
21,408170.2,1,2721,7.33c,UD Vessuwan,Vision Gaming,RDP,Boombui,LionaX,BeeBie,KNP,LOyd,Gotenks^,Luciano,Mercury,Candyloon,Timbersaw,Batrider,Undying,Puck,Phantom Lancer,Techies,Queen of Pain,Snapfire,Faceless Void,Broodmother,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,53.35,44.60,51.53,46.56,53.14,49.01,48.59,45.01,51.15,43.44,-0.94,2.35,-0.03,2.26,-0.19,-0.77,2.09,0.1,-0.06,-1.65,-0.03,0.45,0.99,1.43,1.91,-1.04,-4.81,-0.41,0.38,4.26,1.18,0.93,0.83,1.82,-0.01
22,408170.1,0,2663,7.33c,UD Vessuwan,Vision Gaming,RDP,Boombui,LionaX,BeeBie,KNP,Luciano,Gotenks^,LOyd,Mercury,Candyloon,Timbersaw,Batrider,Rubick,Ember Spirit,Wraith King,Spirit Breaker,Queen of Pain,Techies,Faceless Void,Beastmaster,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,53.35,44.60,44.33,49.78,52.44,48.82,48.59,49.01,51.15,45.96,-1.04,2.35,-0.94,2.26,0.3,-1.56,2.09,-0.77,-0.06,1.43,-1.13,0.09,0.6,-0.45,-2.48,-2.59,-2.46,0.59,-0.44,-0.43,-0.4,1.21,0.08,0.07,2.88
23,408170.0,0,2832,7.33c,UD Vessuwan,Vision Gaming,LOyd,Mercury,Luciano,Candyloon,Gotenks^,KNP,BeeBie,LionaX,Boombui,RDP,Undying,Phantom Lancer,Rubick,Dark Seer,Void Spirit,Morphling,Timbersaw,Spirit Breaker,Snapfire,Primal Beast,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,51.53,53.14,44.33,52.87,50.07,45.84,53.35,48.82,45.01,47.92,0.97,1.12,0.28,0.99,-1.16,0.49,3.27,0.69,0.83,-0.52,-2.19,0.38,-1.13,0.19,0.39,-1.5,1.23,0.42,0.03,0.8,-0.38,0.49,0.34,-0.51,0.01
24,408171.1,1,3150,7.33c,UD Vessuwan,Myth Avenue Gaming,Vincenzo,xsilearn,poloson,mizu,zeal,LionaX,BeeBie,RDP,Boombui,KNP,Pugna,Storm Spirit,Enchantress,Juggernaut,Brewmaster,Undying,Pangolier,Spirit Breaker,Clinkz,Terrorblade,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,48.29,46.16,45.74,50.63,49.84,51.53,44.17,48.82,51.39,43.93,-0.19,1.47,0.72,-0.1,0.42,-0.27,0.42,-0.22,-0.85,-0.56,-1.96,0.63,-1.83,-1.93,-0.28,-0.55,-1.61,0.85,1.35,0.03,0.76,1.4,-0.05,-0.73,-3.09
25,408171.0,0,4375,7.33c,UD Vessuwan,Myth Avenue Gaming,Boombui,BeeBie,LionaX,KNP,RDP,Vincenzo,zeal,xsilearn,poloson,mizu,Techies,Morphling,Undying,Bloodseeker,Spirit Breaker,Rubick,Magnus,Pangolier,Keeper of the Light,Faceless Void,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,45.84,51.53,49.05,48.82,44.33,47.33,44.17,45.82,51.15,-0.6,0.06,-0.51,0.68,0.39,2.19,0.71,0.77,0.01,-0.33,0.69,1.31,0.47,0.83,1.43,0.73,0.47,-2.79,2.11,1.7,1.13,1.15,0.71,0.22,0.89
26,408172.1,0,1339,7.32e,UD Vessuwan,Polaris Esports,LionaX,KNP,RDP,Boombui,BeeBie,Xavius,cml,Akashi,Mac,Enryu,Shadow Demon,Void Spirit,Windranger,Spirit Breaker,Huskar,Batrider,Dark Willow,Alchemist,Queen of Pain,Dark Seer,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,45.35,50.07,46.30,48.82,49.23,44.60,47.51,46.43,48.59,52.87,-0.38,-1.66,1.27,1.29,0.73,-0.25,-0.28,1.21,-1.1,-0.18,-1.22,0.18,-0.44,1.48,-1.81,1.56,2.09,-0.07,1.49,-0.42,-0.74,-0.56,-0.39,-2.71,-0.55
27,408172.0,0,3282,7.32e,UD Vessuwan,Polaris Esports,Boombui,BeeBie,LionaX,RDP,KNP,cml,Mac,Xavius,Akashi,Enryu,Techies,Pangolier,Dark Willow,Magnus,Naga Siren,Enchantress,Void Spirit,Spirit Breaker,Abaddon,Legion Commander,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,44.17,47.51,47.33,48.37,45.74,50.07,48.82,54.39,50.36,0.43,0.02,-0.07,-0.32,-1.4,-0.63,-1.19,-0.71,-2.42,0.02,-0.67,0.28,-2.09,0.24,0.55,0.25,0.98,-1.15,-1.14,-0.85,-3.01,-2.2,0.11,0.52,4.27
28,408173.2,0,2733,7.32e,UD Vessuwan,Geek Fam,RDP,Boombui,LionaX,KNP,BeeBie,skem,Ulnit,Force,NARMAN,Kokz,Underlord,Rubick,Lich,Juggernaut,Viper,Batrider,Bloodseeker,Dark Seer,Spirit Breaker,Timbersaw,50,50,50,50,50,52.190357,50,50,50,50,30,30,30,30,30,152,30,30,30,30,50.72,44.33,51.37,50.63,53.65,44.60,49.05,52.87,48.82,53.35,0.3,0.83,1.17,-3.59,1.25,0.97,-0.73,-1.06,-1.13,0.38,0.91,0.07,0.8,-0.82,1.08,0.91,-1.69,-0.85,0.85,0.97,-1.8,0.03,1.26,-0.56,1.33
29,408173.1,0,1239,7.32e,UD Vessuwan,Geek Fam,RDP,BeeBie,Boombui,LionaX,KNP,skem,Kokz,NARMAN,Ulnit,Force,Magnus,Void Spirit,Dark Willow,Undying,Phantom Lancer,Pugna,Storm Spirit,Vengeful Spirit,Morphling,Dark Seer,50,50,50,50,50,52.190357,50,50,50,50,30,30,30,30,30,87,30,30,30,30,47.33,50.07,47.51,51.53,53.14,48.78,48.04,53.03,45.84,52.87,-1.07,0.44,-0.6,-0.71,0.55,0.53,0.71,-0.16,-0.38,-0.18,0.06,0.15,-1.06,0.08,-0.01,0.19,0.27,-0.09,0.97,0.22,0.54,2.1,-2.76,0.49,4.05
30,408173.0,1,3012,7.32e,UD Vessuwan,Geek Fam,BeeBie,Boombui,LionaX,RDP,KNP,skem,Kokz,Force,NARMAN,Ulnit,Void Spirit,Shadow Demon,Silencer,Underlord,Medusa,Batrider,Storm Spirit,Axe,Skywrath Mage,Broodmother,50,50,50,50,50,52.190357,50,50,50,50,30,30,30,30,30,152,30,30,30,30,50.07,45.35,54.12,50.72,51.29,44.60,48.04,53.40,50.21,43.44,-0.25,0.71,3.35,-0.97,-1.87,-0.38,2.07,0.68,-2.55,-0.12,1.32,-2.22,-1.82,-0.3,2.91,0.3,-1.53,-0.35,0.88,-2.23,-0.77,-2.3,2.63,-1.85,-1.48
31,408174.2,0,2709,7.33c,UD Vessuwan,SPAWN Team,LionaX,KNP,BeeBie,Boombui,RDP,TraVins,woMy,MamangDaya,jikroy,dalul,Pugna,Medusa,Void Spirit,Rubick,Dark Seer,Silencer,Beastmaster,Pangolier,Naga Siren,Keeper of the Light,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,48.29,51.29,50.07,44.33,52.87,54.12,45.96,44.17,48.37,45.82,0.15,5.71,1.47,-0.87,1.26,-0.9,9.73,1.42,-3.56,1.61,-1.13,0.19,1.19,2.2,-1.45,-1.27,-2.48,1.05,-1.25,0.61,0.04,-3.05,-1.2,-4.3,0.01
32,408174.1,1,1708,7.33c,UD Vessuwan,SPAWN Team,Boombui,KNP,BeeBie,LionaX,RDP,TraVins,dalul,woMy,MamangDaya,jikroy,Batrider,Naga Siren,Storm Spirit,Pugna,Doom,Venomancer,Windranger,Timbersaw,Queen of Pain,Anti-Mage,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,44.60,48.37,46.16,48.29,48.03,52.74,46.30,53.35,48.59,52.12,0.29,1.22,1.23,2.09,-1.34,-0.58,-0.23,5.29,-0.01,1.16,-2.09,-0.02,-0.13,-0.11,3.52,-0.29,-0.61,-2.8,-1.91,1.98,0.47,-0.16,-1.45,0.71,1.08
33,408174.0,1,2810,7.33c,UD Vessuwan,SPAWN Team,dalul,MamangDaya,TraVins,jikroy,woMy,LionaX,BeeBie,Boombui,RDP,KNP,Techies,Pangolier,Venomancer,Terrorblade,Broodmother,Undying,Windranger,Batrider,Dark Seer,Alchemist,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,44.17,52.74,43.93,43.44,51.53,46.30,44.60,52.87,46.43,0.03,-1.25,0.77,0.14,-0.74,-0.47,0.22,-1.04,1.2,-0.39,-0.07,1.23,-0.29,3.21,-0.12,-0.94,0.04,1.52,2.29,-0.72,-1.91,1.54,1.65,1.79,2.9
34,408175.2,1,2437,7.32e,UD Vessuwan,Neon Esports,Boombui,BeeBie,LionaX,RDP,KNP,Castaway,khishka,Raging Potato,FortuneSoul,Ken,Batrider,Void Spirit,Undying,Underlord,Arc Warden,Venomancer,Windranger,Bloodseeker,Alchemist,Earth Spirit,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,44.60,50.07,51.53,50.72,54.56,52.74,46.30,49.05,46.43,46.32,0.29,1.22,-0.07,0.5,-0.49,-0.63,-1.06,-0.33,1.21,0.07,0.07,0.49,1.41,0.87,-0.29,-0.59,-0.6,0.83,0.83,-0.73,-2.45,0.26,0.62,0.33,1.78
35,408175.1,0,1939,7.32e,UD Vessuwan,Neon Esports,Castaway,Ken,khishka,FortuneSoul,Raging Potato,Boombui,RDP,BeeBie,LionaX,KNP,Venomancer,Void Spirit,Skywrath Mage,Slark,Batrider,Shadow Demon,Magnus,Pangolier,Disruptor,Phantom Lancer,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,52.74,50.07,50.21,49.88,44.60,45.35,47.33,44.17,49.61,53.14,1.12,-0.09,0.48,-0.56,3.48,-1.57,-0.98,1.19,0.15,-0.62,2.55,0.42,0.25,0.28,0.87,1.23,0.8,1.74,4.11,-0.2,0.38,-0.17,1.04,0.9,-1.19
36,408175.0,0,2614,7.32e,UD Vessuwan,Neon Esports,BeeBie,RDP,KNP,LionaX,Boombui,Castaway,khishka,Ken,Raging Potato,FortuneSoul,Batrider,Magnus,Bloodseeker,Shadow Demon,Rubick,Venomancer,Windranger,Void Spirit,Brewmaster,Terrorblade,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,44.60,47.33,49.05,45.35,44.33,52.74,46.30,50.07,49.84,43.93,0.29,1.22,0.25,1.06,-1.52,0.09,0.28,0.98,-0.03,0.25,0.13,-1.04,0.33,0.73,-0.07,-1.12,-1.09,1.57,-0.93,0.65,0.1,0.33,0.39,-0.32,0.49
37,408176.1,1,2067,7.33c,IHC Esports,Vision Gaming,Se,423,Ace12,Sanctity-,eleven,LOyd,Gotenks^,Luciano,Candyloon,Mercury,Silencer,Bloodseeker,Dark Willow,Tiny,Primal Beast,Pugna,Storm Spirit,Skywrath Mage,Beastmaster,Alchemist,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,54.12,49.05,47.51,44.67,47.92,48.29,46.16,50.21,45.96,46.43,-0.15,-2.22,-0.3,-0.85,1.1,-0.37,2.13,0.26,0.11,-0.67,0.06,0.15,-0.37,-0.55,0.46,-0.85,-0.46,-0.71,0.42,0.86,-1.13,0.89,0.95,0.42,0.36
38,408176.0,1,2185,7.33c,IHC Esports,Vision Gaming,Se,Ace12,Sanctity-,eleven,423,Luciano,Mercury,LOyd,Gotenks^,Candyloon,Batrider,Shadow Demon,Ember Spirit,Magnus,Juggernaut,Spirit Breaker,Bloodseeker,Techies,Puck,Lycan,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,44.60,45.35,49.78,47.33,50.63,48.82,49.05,49.01,46.56,47.55,-1.56,-0.07,-0.77,0.5,-1.5,-2.55,-0.05,-0.68,0.55,2.11,-2.59,-1.33,0.59,-1.18,-2.25,-1.15,-0.47,-0.06,2.29,-0.88,0.85,-1.69,-1.59,0.29,-0.74
39,408177.1,1,1847,7.33c,IHC Esports,Myth Avenue Gaming,poloson,mizu,Vincenzo,xsilearn,zeal,Se,eleven,Ace12,Sanctity-,423,Techies,Morphling,Pugna,Storm Spirit,Magnus,Enchantress,Beastmaster,Rubick,Puck,Alchemist,50,50,50,50,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,49.01,45.84,48.29,46.16,47.33,45.74,45.96,44.33,46.56,46.43,0.43,-2.12,-0.6,1.04,-0.74,-0.81,1.97,2.19,0.82,-0.43,-0.03,5.71,-0.4,-0.44,1.46,0.14,-0.29,-1.14,1.45,0.18,0.25,0.2,0.86,2.29,0.36
